Date,Open,High,Low,Close,Adj Close,Volume
04/10/2021,1.160726,1.164009,1.158856,1.160726,1.160726,0.0
05/10/2021,1.161656,1.16225,1.158306,1.161845,1.161845,0.0
06/10/2021,1.159514,1.159958,1.153017,1.159608,1.159608,0.0
07/10/2021,1.155535,1.15714,1.154935,1.155535,1.155535,0.0
08/10/2021,1.155922,1.158373,1.154255,1.155976,1.155976,0.0
09/10/2021,,,,,,
10/10/2021,,,,,,
11/10/2021,1.156591,1.158749,1.155295,1.156604,1.156604,0.0
12/10/2021,1.155295,1.157006,1.153389,1.155375,1.155375,0.0
13/10/2021,1.153097,1.157901,1.153057,1.153403,1.153403,0.0
14/10/2021,1.159958,1.1625,1.158467,1.159958,1.159958,0.0
15/10/2021,1.159071,1.16198,1.158883,1.159152,1.159152,0.0
16/10/2021,,,,,,
17/10/2021,,,,,,
18/10/2021,1.159595,1.161211,1.1573,1.159703,1.159703,0.0
19/10/2021,1.161454,1.167,1.161454,1.161386,1.161386,0.0
20/10/2021,1.163386,1.165401,1.161805,1.163196,1.163196,0.0
21/10/2021,1.165243,1.166997,1.163318,1.165501,1.165501,0.0
22/10/2021,1.162588,1.165406,1.162237,1.162534,1.162534,0.0
23/10/2021,,,,,,
24/10/2021,,,,,,
25/10/2021,1.164131,1.166861,1.159326,1.164009,1.164009,0.0
26/10/2021,1.16117,1.1629,1.158587,1.16117,1.16117,0.0
27/10/2021,1.159824,1.162439,1.158534,1.159824,1.159824,0.0
28/10/2021,1.159891,1.169317,1.158319,1.160012,1.160012,0.0
29/10/2021,1.168374,1.16918,1.154668,1.168361,1.168361,0.0
30/10/2021,,,,,,
31/10/2021,,,,,,
01/11/2021,1.155936,1.159326,1.154668,1.155668,1.155668,0.0
02/11/2021,1.160174,1.1615,1.157917,1.159958,1.159958,0.0
03/11/2021,1.158078,1.1599,1.156363,1.157943,1.157943,0.0
04/11/2021,1.161575,1.16171,1.152924,1.161575,1.161575,0.0
05/11/2021,1.155668,1.15647,1.15141,1.155535,1.155535,0.0
06/11/2021,,,,,,
07/11/2021,,,,,,
08/11/2021,1.156845,1.159555,1.155175,1.156885,1.156885,0.0
09/11/2021,1.158869,1.160901,1.157019,1.159152,1.159152,0.0
10/11/2021,1.159366,1.159824,1.151344,1.159555,1.159555,0.0
11/11/2021,1.148567,1.149161,1.145489,1.148594,1.148594,0.0
12/11/2021,1.14478,1.145987,1.143406,1.145082,1.145082,0.0
13/11/2021,,,,,,
14/11/2021,,,,,,
15/11/2021,1.14423,1.146421,1.141696,1.144165,1.144165,0.0
16/11/2021,1.136738,1.138701,1.133067,1.136648,1.136648,0.0
17/11/2021,1.131618,1.1334,1.127053,1.132118,1.132118,0.0
18/11/2021,1.131811,1.135976,1.131503,1.132118,1.132118,0.0
19/11/2021,1.13701,1.13701,1.125239,1.136842,1.136842,0.0
20/11/2021,,,,,,
21/11/2021,,,,,,
22/11/2021,1.127574,1.12905,1.123823,1.127574,1.127574,0.0
23/11/2021,1.124354,1.127345,1.122712,1.124215,1.124215,0.0
24/11/2021,1.124391,1.125454,1.118781,1.124493,1.124493,0.0
25/11/2021,1.120699,1.123091,1.120398,1.120298,1.120298,0.0
26/11/2021,1.1209,1.1322,1.1208,1.120963,1.120963,0.0
27/11/2021,,,,,,
28/11/2021,,,,,,
29/11/2021,1.129114,1.129801,1.125885,1.129318,1.129318,0.0
30/11/2021,1.129357,1.138174,1.124606,1.129344,1.129344,0.0
01/12/2021,1.133003,1.135847,1.130416,1.133029,1.133029,0.0
02/12/2021,1.131964,1.134816,1.130186,1.131952,1.131952,0.0
03/12/2021,1.130684,1.133183,1.126735,1.130621,1.130621,0.0
04/12/2021,,,,,,
05/12/2021,,,,,,
06/12/2021,1.130263,1.131,1.1269,1.13048,1.13048,0.0
07/12/2021,1.128452,1.129943,1.123129,1.128668,1.128668,0.0
08/12/2021,1.127307,1.133903,1.126964,1.12765,1.12765,0.0
09/12/2021,1.134404,1.134559,1.127943,1.134559,1.134559,0.0
10/12/2021,1.129408,1.132259,1.126735,1.129331,1.129331,0.0
11/12/2021,,,,,,
12/12/2021,,,,,,
13/12/2021,1.131119,1.131606,1.126354,1.131183,1.131183,0.0
14/12/2021,1.128337,1.132759,1.126659,1.128541,1.128541,0.0
15/12/2021,1.125873,1.1278,1.124923,1.126126,1.126126,0.0
16/12/2021,1.129305,1.136364,1.12821,1.129076,1.129076,0.0
17/12/2021,1.133543,1.134906,1.126837,1.133414,1.133414,0.0
18/12/2021,,,,,,
19/12/2021,,,,,,
20/12/2021,1.124252,1.130454,1.123734,1.124354,1.124354,0.0
21/12/2021,1.127675,1.130327,1.126177,1.127752,1.127752,0.0
22/12/2021,1.12905,1.1342,1.126532,1.128757,1.128757,0.0
23/12/2021,1.133016,1.134559,1.129152,1.132888,1.132888,0.0
24/12/2021,1.132464,1.13443,1.130838,1.132734,1.132734,0.0
25/12/2021,,,,,,
26/12/2021,,,,,,
27/12/2021,1.132387,1.1335,1.130416,1.132426,1.132426,0.0
28/12/2021,1.132978,1.1336,1.129038,1.133003,1.133003,0.0
29/12/2021,1.131337,1.137001,1.127536,1.131478,1.131478,0.0
30/12/2021,1.135976,1.135976,1.130071,1.136015,1.136015,0.0
31/12/2021,1.132323,1.137915,1.130506,1.132503,1.132503,0.0
01/01/2022,,,,,,
02/01/2022,,,,,,
03/01/2022,1.137385,1.137592,1.128541,1.137346,1.137346,0.0
04/01/2022,1.130199,1.1323,1.127345,1.130224,1.130224,0.0
05/01/2022,1.128541,1.134559,1.127764,1.128363,1.128363,0.0
06/01/2022,1.131222,1.133067,1.128554,1.13135,1.13135,0.0
07/01/2022,1.129586,1.135976,1.12905,1.129688,1.129688,0.0
08/01/2022,,,,,,
09/01/2022,,,,,,
